2026-01-09 10:19:20,262 [INFO] 开始启动浏览器实例
2026-01-09 10:37:07,300 [INFO] 成功获取到值: BQJA7
2026-01-09 10:37:07,324 [INFO] 尝试从JSON路径 $.data.data[*][31] 获取值
2026-01-09 10:37:07,324 [INFO] 成功获取到值: 9650963
2026-01-09 10:37:07,347 [INFO] 尝试从JSON路径 $.data.data[*][21] 获取值
2026-01-09 10:37:07,348 [INFO] 成功获取到值: 406943
2026-01-09 10:37:07,374 [INFO] 尝试从JSON路径 $.data.data[*][14] 获取值
2026-01-09 10:37:07,375 [INFO] 成功获取到值: GAOHONGSHENG2
2026-01-09 10:37:07,390 [INFO] 尝试从JSON路径 $.data.data[*][13] 获取值
2026-01-09 10:37:07,390 [INFO] 成功获取到值: 鲁昌渔64756
2026-01-09 10:37:07,391 [INFO] 获取到的参数: targetId=2601081016404047512, mmsi=412480620, callSign=BQJA7, imo=9650963, terminal=406943, vesselName=GAOHONGSHENG2, shipName=鲁昌渔64756
2026-01-09 10:37:09,430 [INFO] 全局公共参数获取成功
2026-01-09 10:37:09,432 [INFO] 开始创建页面并执行登录
2026-01-09 10:37:09,807 [INFO] 正在导航到登录页面: http://10.100.0.184:11080/login
2026-01-09 10:37:20,340 [INFO] 正在执行登录操作
2026-01-09 10:37:21,547 [INFO] 登录成功
2026-01-09 10:37:21,547 [INFO] 首次执行：点击【目标筛选】→【一键筛选】
2026-01-09 10:37:29,419 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[小目标]
2026-01-09 10:37:34,496 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[小目标]
2026-01-09 10:37:34,504 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:37:34,504 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[高速目标]
2026-01-09 10:37:38,636 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[高速目标]
2026-01-09 10:37:38,639 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:37:38,640 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[低速目标]
2026-01-09 10:37:42,802 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[低速目标]
2026-01-09 10:37:42,834 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:37:42,836 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[非大陆籍]
2026-01-09 10:37:46,976 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[非大陆籍]
2026-01-09 10:37:46,984 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:37:46,985 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[渔船]
2026-01-09 10:37:51,124 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[渔船]
2026-01-09 10:37:51,131 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:37:51,133 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[纯雷达]
2026-01-09 10:37:55,282 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[纯雷达]
2026-01-09 10:37:55,297 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:37:55,298 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[AIS目标]
2026-01-09 10:37:59,441 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[AIS目标]
2026-01-09 10:37:59,467 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:37:59,468 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[北斗目标]
2026-01-09 10:37:59,505 [ERROR] 搜索 北斗目标 时发生错误: Locator.click: Error: strict mode violation: locator("button:has-text('北斗目标')") resolved to 2 elements:
    1) <button type="button" class="ant-btn default-group__inner-button ant-btn-primary">…</button> aka get_by_role("button", name="北斗目标")
    2) <button title="北斗目标" type="button" class="ant-btn targetTypeFiltering__inner-button targetTypeFiltering__inner-button-check">…</button> aka get_by_title("北斗目标")

Call log:
  - waiting for locator("button:has-text('北斗目标')")

2026-01-09 10:38:00,796 [ERROR] 添加Allure附件时出错: type object 'AttachmentType' has no attribute 'APPLICATION_ZIP'
2026-01-09 10:38:00,821 [INFO] 页面上下文已关闭
2026-01-09 10:38:01,305 [INFO] 浏览器实例已关闭
2026-01-09 14:02:12,025 [INFO] 开始启动浏览器实例
2026-01-09 14:02:16,263 [INFO] 浏览器实例启动成功
2026-01-09 14:02:18,361 [INFO] 开始获取全局公共参数
2026-01-09 14:02:18,361 [INFO] 正在请求登录接口获取token
2026-01-09 14:02:18,362 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/uaa/user/login
2026-01-09 14:02:20,597 [INFO] 接口调用成功: 200
2026-01-09 14:02:22,639 [INFO] 尝试从JSON路径 $.data.tokenValue 获取值
2026-01-09 14:02:22,639 [INFO] 成功获取到值: 12545320-0b86-4b2c-845d-f3c21f373842
2026-01-09 14:02:22,639 [INFO] 正在请求目标接口获取公共参数
2026-01-09 14:02:22,639 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/targetv2/target/all/simplified
2026-01-09 14:02:27,665 [INFO] 接口调用成功: 200
2026-01-09 14:02:29,725 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/targetv2/target/all/simplified
2026-01-09 14:02:32,373 [INFO] 接口调用成功: 200
2026-01-09 14:02:34,446 [INFO] 尝试从JSON路径 $.data.data[*][0] 获取值
2026-01-09 14:02:34,447 [INFO] 成功获取到值: 2601071944364037058
2026-01-09 14:02:34,472 [INFO] 尝试从JSON路径 $.data.data[*][2] 获取值
2026-01-09 14:02:34,472 [INFO] 成功获取到值: 414668000
2026-01-09 14:02:34,494 [INFO] 尝试从JSON路径 $.data.data[*][32] 获取值
2026-01-09 14:02:34,494 [INFO] 成功获取到值: BOEA4
2026-01-09 14:02:34,516 [INFO] 尝试从JSON路径 $.data.data[*][31] 获取值
2026-01-09 14:02:34,516 [INFO] 成功获取到值: 9639593
2026-01-09 14:02:34,534 [INFO] 尝试从JSON路径 $.data.data[*][21] 获取值
2026-01-09 14:02:34,534 [INFO] 成功获取到值: 851820
2026-01-09 14:02:34,558 [INFO] 尝试从JSON路径 $.data.data[*][14] 获取值
2026-01-09 14:02:34,558 [INFO] 成功获取到值: DINGXIN103
2026-01-09 14:02:34,577 [INFO] 尝试从JSON路径 $.data.data[*][13] 获取值
2026-01-09 14:02:34,578 [INFO] 成功获取到值: 鲁岚渔61349
2026-01-09 14:02:34,578 [INFO] 获取到的参数: targetId=2601071944364037058, mmsi=414668000, callSign=BOEA4, imo=9639593, terminal=851820, vesselName=DINGXIN103, shipName=鲁岚渔61349
2026-01-09 14:02:36,618 [INFO] 全局公共参数获取成功
2026-01-09 14:02:36,620 [INFO] 开始创建页面并执行登录
2026-01-09 14:02:37,063 [INFO] 正在导航到登录页面: http://10.100.0.184:11080/login
2026-01-09 14:02:44,483 [INFO] 正在执行登录操作
2026-01-09 14:02:46,027 [INFO] 登录成功
2026-01-09 14:02:46,027 [INFO] 首次执行：点击【目标筛选】→【一键筛选】
2026-01-09 14:02:48,649 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[小目标]
2026-01-09 14:02:52,884 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[小目标]
2026-01-09 14:02:52,888 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 14:02:52,891 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[高速目标]
2026-01-09 14:02:57,030 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[高速目标]
2026-01-09 14:02:57,033 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 14:02:57,034 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[低速目标]
2026-01-09 14:03:01,190 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[低速目标]
2026-01-09 14:03:01,215 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 14:03:01,216 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[非大陆籍]
2026-01-09 14:03:05,364 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[非大陆籍]
2026-01-09 14:03:05,372 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 14:03:05,374 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[渔船]
2026-01-09 14:03:09,501 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[渔船]
2026-01-09 14:03:09,511 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 14:03:09,512 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[纯雷达]
2026-01-09 14:03:13,663 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[纯雷达]
2026-01-09 14:03:13,685 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 14:03:13,686 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[AIS目标]
2026-01-09 14:03:17,838 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[AIS目标]
2026-01-09 14:03:17,862 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 14:03:17,863 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[北斗目标]
2026-01-09 14:03:17,908 [ERROR] 搜索 北斗目标 时发生错误: Locator.click: Error: strict mode violation: locator("button:has-text('北斗目标')") resolved to 2 elements:
    1) <button type="button" class="ant-btn default-group__inner-button ant-btn-primary">…</button> aka get_by_role("button", name="北斗目标")
    2) <button title="北斗目标" type="button" class="ant-btn targetTypeFiltering__inner-button targetTypeFiltering__inner-button-check">…</button> aka get_by_title("北斗目标")

Call log:
  - waiting for locator("button:has-text('北斗目标')")

2026-01-09 14:03:19,106 [ERROR] 添加Allure附件时出错: type object 'AttachmentType' has no attribute 'APPLICATION_ZIP'
2026-01-09 14:03:19,131 [INFO] 页面上下文已关闭
2026-01-09 14:03:19,615 [INFO] 浏览器实例已关闭
2026-01-09 14:11:33,575 [INFO] 开始启动浏览器实例
2026-01-09 14:11:34,329 [INFO] 浏览器实例启动成功
2026-01-09 14:11:36,410 [INFO] 开始获取全局公共参数
2026-01-09 14:11:36,410 [INFO] 正在请求登录接口获取token
2026-01-09 14:11:36,411 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/uaa/user/login
2026-01-09 14:11:38,626 [INFO] 接口调用成功: 200
2026-01-09 14:11:40,666 [INFO] 尝试从JSON路径 $.data.tokenValue 获取值
2026-01-09 14:11:40,666 [INFO] 成功获取到值: 12545320-0b86-4b2c-845d-f3c21f373842
2026-01-09 14:11:40,666 [INFO] 正在请求目标接口获取公共参数
2026-01-09 14:11:40,667 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/targetv2/target/all/simplified
2026-01-09 14:11:43,934 [INFO] 接口调用成功: 200
2026-01-09 14:11:45,981 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/targetv2/target/all/simplified
2026-01-09 14:11:48,606 [INFO] 接口调用成功: 200
2026-01-09 14:11:50,677 [INFO] 尝试从JSON路径 $.data.data[*][0] 获取值
2026-01-09 14:11:50,677 [INFO] 成功获取到值: 2512312132274002425
2026-01-09 14:11:50,699 [INFO] 尝试从JSON路径 $.data.data[*][2] 获取值
2026-01-09 14:11:50,700 [INFO] 成功获取到值: 413394980
2026-01-09 14:11:50,723 [INFO] 尝试从JSON路径 $.data.data[*][32] 获取值
2026-01-09 14:11:50,723 [INFO] 成功获取到值: BPCP9
2026-01-09 14:11:50,745 [INFO] 尝试从JSON路径 $.data.data[*][31] 获取值
2026-01-09 14:11:50,746 [INFO] 成功获取到值: 9729441
2026-01-09 14:11:50,761 [INFO] 尝试从JSON路径 $.data.data[*][21] 获取值
2026-01-09 14:11:50,761 [INFO] 成功获取到值: 1000613
2026-01-09 14:11:50,782 [INFO] 尝试从JSON路径 $.data.data[*][14] 获取值
2026-01-09 14:11:50,782 [INFO] 成功获取到值: KAN TAN 409
2026-01-09 14:11:50,796 [INFO] 尝试从JSON路径 $.data.data[*][13] 获取值
2026-01-09 14:11:50,796 [INFO] 成功获取到值: 鲁烟开渔60151
2026-01-09 14:11:50,796 [INFO] 获取到的参数: targetId=2512312132274002425, mmsi=413394980, callSign=BPCP9, imo=9729441, terminal=1000613, vesselName=KAN TAN 409, shipName=鲁烟开渔60151
2026-01-09 14:11:52,844 [INFO] 全局公共参数获取成功
2026-01-09 14:11:52,844 [INFO] 开始创建页面并执行登录
2026-01-09 14:11:53,097 [INFO] 正在导航到登录页面: http://10.100.0.184:11080/login
2026-01-09 14:11:59,432 [INFO] 正在执行登录操作
2026-01-09 14:12:00,699 [INFO] 登录成功
2026-01-09 14:12:00,699 [INFO] 首次执行：点击【目标筛选】→【一键筛选】
2026-01-09 14:12:03,176 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[小目标]
2026-01-09 14:12:07,438 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[小目标]
2026-01-09 14:12:07,442 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 14:12:07,443 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[高速目标]
2026-01-09 14:12:11,543 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[高速目标]
2026-01-09 14:12:11,545 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 14:12:11,546 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[低速目标]
2026-01-09 14:12:15,741 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[低速目标]
2026-01-09 14:12:15,770 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 14:12:15,771 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[非大陆籍]
2026-01-09 14:12:19,927 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[非大陆籍]
2026-01-09 14:12:19,932 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 14:12:19,933 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[渔船]
2026-01-09 14:12:24,079 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[渔船]
2026-01-09 14:12:24,089 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 14:12:24,090 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[纯雷达]
2026-01-09 14:12:28,227 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[纯雷达]
2026-01-09 14:12:28,237 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 14:12:28,238 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[AIS目标]
2026-01-09 14:12:32,379 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[AIS目标]
2026-01-09 14:12:32,410 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 14:12:32,411 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[北斗目标]
2026-01-09 14:12:36,568 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[北斗目标]
2026-01-09 14:12:37,612 [ERROR] 添加Allure附件时出错: type object 'AttachmentType' has no attribute 'APPLICATION_ZIP'
2026-01-09 14:12:37,642 [INFO] 页面上下文已关闭
2026-01-09 14:12:38,112 [INFO] 浏览器实例已关闭
2026-01-09 17:07:20,515 [INFO] 开始启动浏览器实例
2026-01-09 17:07:21,342 [INFO] 浏览器实例启动成功
2026-01-09 17:07:23,439 [INFO] 开始获取全局公共参数
2026-01-09 17:07:23,439 [INFO] 正在请求登录接口获取token
2026-01-09 17:07:23,439 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/uaa/user/login
2026-01-09 17:07:25,770 [INFO] 接口调用成功: 200
2026-01-09 17:07:27,813 [INFO] 尝试从JSON路径 $.data.tokenValue 获取值
2026-01-09 17:07:27,814 [INFO] 成功获取到值: 12545320-0b86-4b2c-845d-f3c21f373842
2026-01-09 17:07:27,814 [INFO] 正在请求目标接口获取公共参数
2026-01-09 17:07:27,815 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/targetv2/target/all/simplified
2026-01-09 17:07:33,036 [INFO] 接口调用成功: 200
2026-01-09 17:07:35,075 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/targetv2/target/all/simplified
2026-01-09 17:07:37,862 [INFO] 接口调用成功: 200
2026-01-09 17:07:39,923 [INFO] 尝试从JSON路径 $.data.data[*][0] 获取值
2026-01-09 17:07:39,923 [INFO] 成功获取到值: 2601060401524015555
2026-01-09 17:07:39,940 [INFO] 尝试从JSON路径 $.data.data[*][2] 获取值
2026-01-09 17:07:39,940 [INFO] 成功获取到值: 352005898
2026-01-09 17:07:39,956 [INFO] 尝试从JSON路径 $.data.data[*][32] 获取值
2026-01-09 17:07:39,956 [INFO] 成功获取到值: 3E9072
2026-01-09 17:07:39,970 [INFO] 尝试从JSON路径 $.data.data[*][31] 获取值
2026-01-09 17:07:39,971 [INFO] 成功获取到值: 9258832
2026-01-09 17:07:39,984 [INFO] 尝试从JSON路径 $.data.data[*][21] 获取值
2026-01-09 17:07:39,985 [INFO] 成功获取到值: 871824
2026-01-09 17:07:39,999 [INFO] 尝试从JSON路径 $.data.data[*][14] 获取值
2026-01-09 17:07:40,000 [INFO] 成功获取到值: ROAMA 8
2026-01-09 17:07:40,014 [INFO] 尝试从JSON路径 $.data.data[*][13] 获取值
2026-01-09 17:07:40,014 [INFO] 成功获取到值: 鲁昌渔养60071
2026-01-09 17:07:40,015 [INFO] 获取到的参数: targetId=2601060401524015555, mmsi=352005898, callSign=3E9072, imo=9258832, terminal=871824, vesselName=ROAMA 8, shipName=鲁昌渔养60071
2026-01-09 17:07:42,059 [INFO] 全局公共参数获取成功
2026-01-09 17:07:42,059 [INFO] 开始创建页面并执行登录
2026-01-09 17:07:42,380 [INFO] 正在导航到登录页面: http://10.100.0.184:11080/login
2026-01-09 17:07:48,194 [INFO] 正在执行登录操作
2026-01-09 17:07:49,566 [INFO] 登录成功
2026-01-09 17:07:51,685 [INFO] 首次执行：点击【目标筛选】→【高级筛选】
2026-01-09 17:07:52,855 [ERROR] 添加Allure附件时出错: type object 'AttachmentType' has no attribute 'APPLICATION_ZIP'
2026-01-09 17:07:52,879 [INFO] 页面上下文已关闭
2026-01-09 17:07:53,338 [INFO] 浏览器实例已关闭
2026-01-09 17:12:53,493 [INFO] 开始启动浏览器实例
2026-01-09 17:12:54,180 [INFO] 浏览器实例启动成功
2026-01-09 17:12:56,259 [INFO] 开始获取全局公共参数
2026-01-09 17:12:56,259 [INFO] 正在请求登录接口获取token
2026-01-09 17:12:56,259 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/uaa/user/login
2026-01-09 17:12:58,764 [INFO] 接口调用成功: 200
2026-01-09 17:13:00,813 [INFO] 尝试从JSON路径 $.data.tokenValue 获取值
2026-01-09 17:13:00,813 [INFO] 成功获取到值: 12545320-0b86-4b2c-845d-f3c21f373842
2026-01-09 17:13:00,813 [INFO] 正在请求目标接口获取公共参数
2026-01-09 17:13:00,814 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/targetv2/target/all/simplified
2026-01-09 17:13:04,125 [INFO] 接口调用成功: 200
2026-01-09 17:13:06,170 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/targetv2/target/all/simplified
2026-01-09 17:13:09,504 [INFO] 接口调用成功: 200
2026-01-09 17:13:11,562 [INFO] 尝试从JSON路径 $.data.data[*][0] 获取值
2026-01-09 17:13:11,562 [INFO] 成功获取到值: 2601090134174066106
2026-01-09 17:13:11,578 [INFO] 尝试从JSON路径 $.data.data[*][2] 获取值
2026-01-09 17:13:11,578 [INFO] 成功获取到值: 412200990
2026-01-09 17:13:11,595 [INFO] 尝试从JSON路径 $.data.data[*][32] 获取值
2026-01-09 17:13:11,595 [INFO] 成功获取到值: BQHZ3
2026-01-09 17:13:11,612 [INFO] 尝试从JSON路径 $.data.data[*][31] 获取值
2026-01-09 17:13:11,612 [INFO] 成功获取到值: 9559327
2026-01-09 17:13:11,627 [INFO] 尝试从JSON路径 $.data.data[*][21] 获取值
2026-01-09 17:13:11,627 [INFO] 成功获取到值: 876798
2026-01-09 17:13:11,642 [INFO] 尝试从JSON路径 $.data.data[*][14] 获取值
2026-01-09 17:13:11,642 [INFO] 成功获取到值: HONG QIAO DA YU 7
2026-01-09 17:13:11,654 [INFO] 尝试从JSON路径 $.data.data[*][13] 获取值
2026-01-09 17:13:11,654 [INFO] 成功获取到值: 鲁寿渔养68109
2026-01-09 17:13:11,655 [INFO] 获取到的参数: targetId=2601090134174066106, mmsi=412200990, callSign=BQHZ3, imo=9559327, terminal=876798, vesselName=HONG QIAO DA YU 7, shipName=鲁寿渔养68109
2026-01-09 17:13:13,692 [INFO] 全局公共参数获取成功
2026-01-09 17:13:13,693 [INFO] 开始创建页面并执行登录
2026-01-09 17:13:13,995 [INFO] 正在导航到登录页面: http://10.100.0.184:11080/login
2026-01-09 17:13:29,782 [INFO] 正在执行登录操作
2026-01-09 17:13:31,116 [INFO] 登录成功
2026-01-09 17:13:38,220 [INFO] 首次执行：点击【目标筛选】→【高级筛选】
2026-01-09 17:13:39,439 [ERROR] 添加Allure附件时出错: type object 'AttachmentType' has no attribute 'APPLICATION_ZIP'
2026-01-09 17:13:39,461 [INFO] 页面上下文已关闭
2026-01-09 17:13:39,963 [INFO] 浏览器实例已关闭
2026-01-09 17:15:49,277 [INFO] 开始启动浏览器实例
2026-01-09 17:15:50,083 [INFO] 浏览器实例启动成功
2026-01-09 17:15:52,162 [INFO] 开始获取全局公共参数
2026-01-09 17:15:52,162 [INFO] 正在请求登录接口获取token
2026-01-09 17:15:52,163 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/uaa/user/login
2026-01-09 17:15:54,409 [INFO] 接口调用成功: 200
2026-01-09 17:15:56,444 [INFO] 尝试从JSON路径 $.data.tokenValue 获取值
2026-01-09 17:15:56,444 [INFO] 成功获取到值: 12545320-0b86-4b2c-845d-f3c21f373842
2026-01-09 17:15:56,445 [INFO] 正在请求目标接口获取公共参数
2026-01-09 17:15:56,452 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/targetv2/target/all/simplified
2026-01-09 17:15:59,377 [INFO] 接口调用成功: 200
2026-01-09 17:16:01,418 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/targetv2/target/all/simplified
2026-01-09 17:16:04,589 [INFO] 接口调用成功: 200
2026-01-09 17:16:06,658 [INFO] 尝试从JSON路径 $.data.data[*][0] 获取值
2026-01-09 17:16:06,658 [INFO] 成功获取到值: 2512291908454086921
2026-01-09 17:16:06,674 [INFO] 尝试从JSON路径 $.data.data[*][2] 获取值
2026-01-09 17:16:06,675 [INFO] 成功获取到值: 352986199
2026-01-09 17:16:06,695 [INFO] 尝试从JSON路径 $.data.data[*][32] 获取值
2026-01-09 17:16:06,695 [INFO] 成功获取到值: 3E3940
2026-01-09 17:16:06,711 [INFO] 尝试从JSON路径 $.data.data[*][31] 获取值
2026-01-09 17:16:06,711 [INFO] 成功获取到值: 9221607
2026-01-09 17:16:06,727 [INFO] 尝试从JSON路径 $.data.data[*][21] 获取值
2026-01-09 17:16:06,727 [INFO] 成功获取到值: 850889
2026-01-09 17:16:06,742 [INFO] 尝试从JSON路径 $.data.data[*][14] 获取值
2026-01-09 17:16:06,742 [INFO] 成功获取到值: XIANGMING
2026-01-09 17:16:06,758 [INFO] 尝试从JSON路径 $.data.data[*][13] 获取值
2026-01-09 17:16:06,759 [INFO] 成功获取到值: 鲁寿渔61067
2026-01-09 17:16:06,760 [INFO] 获取到的参数: targetId=2512291908454086921, mmsi=352986199, callSign=3E3940, imo=9221607, terminal=850889, vesselName=XIANGMING, shipName=鲁寿渔61067
2026-01-09 17:16:08,801 [INFO] 全局公共参数获取成功
2026-01-09 17:16:08,802 [INFO] 开始创建页面并执行登录
2026-01-09 17:16:09,137 [INFO] 正在导航到登录页面: http://10.100.0.184:11080/login
2026-01-09 17:16:22,370 [INFO] 正在执行登录操作
2026-01-09 17:16:23,597 [INFO] 登录成功
2026-01-09 17:16:25,726 [INFO] 首次执行：点击【目标筛选】→【高级筛选】
2026-01-09 17:16:57,141 [ERROR] 添加Allure附件时出错: type object 'AttachmentType' has no attribute 'APPLICATION_ZIP'
2026-01-09 17:16:57,168 [INFO] 页面上下文已关闭
2026-01-09 17:16:57,665 [INFO] 浏览器实例已关闭
2026-01-09 17:17:43,165 [INFO] 开始启动浏览器实例
2026-01-09 17:17:43,894 [INFO] 浏览器实例启动成功
2026-01-09 17:17:45,975 [INFO] 开始获取全局公共参数
2026-01-09 17:17:45,975 [INFO] 正在请求登录接口获取token
2026-01-09 17:17:45,975 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/uaa/user/login
2026-01-09 17:17:48,362 [INFO] 接口调用成功: 200
2026-01-09 17:17:50,406 [INFO] 尝试从JSON路径 $.data.tokenValue 获取值
2026-01-09 17:17:50,406 [INFO] 成功获取到值: 12545320-0b86-4b2c-845d-f3c21f373842
2026-01-09 17:17:50,406 [INFO] 正在请求目标接口获取公共参数
2026-01-09 17:17:50,443 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/targetv2/target/all/simplified
2026-01-09 17:17:53,394 [INFO] 接口调用成功: 200
2026-01-09 17:17:55,436 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/targetv2/target/all/simplified
2026-01-09 17:17:57,948 [INFO] 接口调用成功: 200
2026-01-09 17:18:00,010 [INFO] 尝试从JSON路径 $.data.data[*][0] 获取值
2026-01-09 17:18:00,010 [INFO] 成功获取到值: 2512191759574057012
2026-01-09 17:18:00,025 [INFO] 尝试从JSON路径 $.data.data[*][2] 获取值
2026-01-09 17:18:00,026 [INFO] 成功获取到值: 412301380
2026-01-09 17:18:00,041 [INFO] 尝试从JSON路径 $.data.data[*][32] 获取值
2026-01-09 17:18:00,041 [INFO] 成功获取到值: BFNT
2026-01-09 17:18:00,056 [INFO] 尝试从JSON路径 $.data.data[*][31] 获取值
2026-01-09 17:18:00,056 [INFO] 成功获取到值: 9291767
2026-01-09 17:18:00,071 [INFO] 尝试从JSON路径 $.data.data[*][21] 获取值
2026-01-09 17:18:00,071 [INFO] 成功获取到值: 876627
2026-01-09 17:18:00,086 [INFO] 尝试从JSON路径 $.data.data[*][14] 获取值
2026-01-09 17:18:00,087 [INFO] 成功获取到值: BIN HAI 268
2026-01-09 17:18:00,100 [INFO] 尝试从JSON路径 $.data.data[*][13] 获取值
2026-01-09 17:18:00,101 [INFO] 成功获取到值: 鲁潍渔66016
2026-01-09 17:18:00,101 [INFO] 获取到的参数: targetId=2512191759574057012, mmsi=412301380, callSign=BFNT, imo=9291767, terminal=876627, vesselName=BIN HAI 268, shipName=鲁潍渔66016
2026-01-09 17:18:02,139 [INFO] 全局公共参数获取成功
2026-01-09 17:18:02,140 [INFO] 开始创建页面并执行登录
2026-01-09 17:18:02,447 [INFO] 正在导航到登录页面: http://10.100.0.184:11080/login
2026-01-09 17:18:18,688 [INFO] 正在执行登录操作
2026-01-09 17:18:22,816 [INFO] 登录成功
2026-01-09 17:18:24,998 [INFO] 首次执行：点击【目标筛选】→【高级筛选】
2026-01-09 17:18:26,229 [ERROR] 添加Allure附件时出错: type object 'AttachmentType' has no attribute 'APPLICATION_ZIP'
2026-01-09 17:18:26,256 [INFO] 页面上下文已关闭
2026-01-09 17:18:26,702 [INFO] 浏览器实例已关闭
2026-01-09 17:24:40,936 [INFO] 开始启动浏览器实例
2026-01-09 17:24:41,796 [INFO] 浏览器实例启动成功
2026-01-09 17:24:43,888 [INFO] 开始获取全局公共参数
2026-01-09 17:24:43,888 [INFO] 正在请求登录接口获取token
2026-01-09 17:24:43,888 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/uaa/user/login
2026-01-09 17:24:46,142 [INFO] 接口调用成功: 200
2026-01-09 17:24:48,187 [INFO] 尝试从JSON路径 $.data.tokenValue 获取值
2026-01-09 17:24:48,188 [INFO] 成功获取到值: 12545320-0b86-4b2c-845d-f3c21f373842
2026-01-09 17:24:48,188 [INFO] 正在请求目标接口获取公共参数
